ISO8601,fromDate,toDate,bedtime,waketime,inBed,awake,fellAsleepIn,sessions,asleep,asleepAvg7,efficiency,efficiencyAvg7,quality,qualityAvg7,deep,deepAvg7,sleepBPM,sleepBPMAvg7,dayBPM,dayBPMAvg7,wakingBPM,wakingBPMAvg7,hrv,hrvAvg7,sleepHRV,sleepHRVAvg7,SpO2Avg,SpO2Min,SpO2Max,respAvg,respMin,respMax,tags,notes
2023-12-03T20:59:59+08:00,"Saturday, Dec 2, 2023","Sunday, Dec 3, 2023",2023-12-03 01:25:00,2023-12-03 08:20:00,06:55:00,00:00:00,00:00:00,1,06:55:00,07:14:00,100.0,99.1,05:12:34,05:10:05,01:14:06,01:05:25,54.5,59.2,67.5,65.5,54.0,55.6,48,65,40,55,,,,15.7,13.5,18.5,,
2023-12-04T20:59:59+08:00,"Sunday, Dec 3, 2023","Monday, Dec 4, 2023",2023-12-04 00:13:00,2023-12-04 07:30:00,07:35:00,00:00:00,00:00:00,2,07:35:00,07:17:30,100.0,99.3,05:40:30,05:15:10,00:58:16,01:03:38,54.4,58.4,69.3,66.0,54.0,55.3,76,67,54,51,,,,15.9,14.0,21.5,,
2023-12-05T20:59:59+08:00,"Monday, Dec 4, 2023","Tuesday, Dec 5, 2023",2023-12-05 00:15:00,2023-12-05 07:30:00,07:15:00,00:11:00,00:00:00,1,07:04:00,07:15:34,97.5,99.0,05:12:00,05:14:42,01:30:51,01:09:04,56.1,58.1,70.6,67.8,55.0,55.3,72,68,47,50,,,,15.9,14.0,21.0,,
2023-12-06T20:59:59+08:00,"Tuesday, Dec 5, 2023","Wednesday, Dec 6, 2023",2023-12-06 00:15:00,2023-12-06 08:00:00,08:16:00,00:00:00,00:00:00,2,08:16:00,07:15:42,100.0,99.0,06:01:35,05:17:36,02:00:30,01:17:39,55.5,55.9,69.4,67.8,58.0,54.7,53,66,37,48,,,,15.4,14.0,20.5,,
2023-12-07T20:59:59+08:00,"Wednesday, Dec 6, 2023","Thursday, Dec 7, 2023",2023-12-07 00:06:00,2023-12-07 07:06:00,07:19:00,00:00:00,00:00:00,2,07:19:00,07:22:00,100.0,99.0,05:24:17,05:22:06,01:45:00,01:21:33,57.4,55.9,,,56.0,55.3,59,63,46,46,,,,15.6,13.5,19.5,,
2023-12-09T20:59:59+08:00,"Friday, Dec 8, 2023","Saturday, Dec 9, 2023",2023-12-09 00:30:00,2023-12-09 06:44:00,06:14:00,00:00:00,00:00:00,1,06:14:00,07:09:51,100.0,99.0,04:39:21,05:14:49,00:29:55,01:21:29,66.7,57.3,75.1,71.5,58.0,55.9,62,64,48,46,,,,16.2,15.0,19.0,,
2023-12-10T20:59:59+08:00,"Saturday, Dec 9, 2023","Sunday, Dec 10, 2023",2023-12-10 00:08:00,2023-12-10 07:45:00,07:37:00,00:00:00,00:00:00,1,07:37:00,07:17:08,100.0,99.6,05:17:48,05:21:09,00:44:14,01:14:41,59.3,57.7,91.2,74.0,59.0,56.3,80,64,54,46,,,,15.5,13.0,19.5,,
2023-12-11T20:59:59+08:00,"Sunday, Dec 10, 2023","Monday, Dec 11, 2023",2023-12-11 01:30:00,2023-12-11 07:18:00,06:14:00,00:00:00,00:00:00,2,06:14:00,07:11:17,100.0,99.6,05:04:50,05:20:03,01:28:39,01:16:46,67.6,59.6,75.4,75.1,61.0,57.3,92,71,69,51,,,,16.4,14.5,21.5,,
2023-12-12T20:59:59+08:00,"Monday, Dec 11, 2023","Tuesday, Dec 12, 2023",2023-12-11 23:39:00,2023-12-12 07:15:00,08:06:00,00:00:00,00:00:00,2,08:06:00,07:15:42,100.0,99.6,05:40:07,05:20:00,01:13:50,01:18:59,60.6,60.5,71.0,75.4,59.0,58.0,77,71,58,51,,,,15.6,12.5,20.0,,
2023-12-13T20:59:59+08:00,"Tuesday, Dec 12, 2023","Wednesday, Dec 13, 2023",2023-12-12 23:59:00,2023-12-13 07:30:00,08:14:00,00:00:00,00:00:00,2,08:14:00,07:25:42,100.0,100.0,05:44:06,05:24:35,01:45:14,01:21:03,58.5,60.8,71.1,75.4,54.0,57.9,81,72,59,53,,,,16.0,14.5,21.5,,
